"Record ID","FirstName","LastLame","Email","CreateDate","CompanyName","BuyingRole","BuyingRoleOption","MobilePhone Number","Additionalemail addresses"
"102","Fulton","Swindles","fulton.swindles@bubblemix.com","2022-08-12 11:20","Bubblemix","","Other","",""
"101","Matthiew","Belham","matthiew.belham@yambee.com","2022-08-12 11:20","Yambee","Budget Holder","Budget Holder","305-244-6748",""
"202","Lucius","Porteous","lucius.porteous@gabtune.com","2022-08-12 11:20","Gabtune","","End User","866-777-9402",""
"1651","Roderigo","Ply","roderigo.ply@feedfire.com","2022-08-12 11:20","Feedfire","","Executive Sponsor","836-622-8880",""
"701","Russ","Dempster","russ.dempster@gabtune.com","2022-08-12 11:20","Gabtune","","Executive Sponsor","955-399-3198",""
"903","Kenny","Burling","kenny.burling@skaboo.com","2022-08-12 11:20","Skaboo","Executive Sponsor","Executive Sponsor","",""
"1301","Joete","Beatens","joete.beatens@thoughtstorm.com","2022-08-12 11:20","Thoughtstorm","","Blocker","651-299-0435",""
"352","Marj","Fradgley","marj.fradgley@edgeclub.com","2022-08-12 11:20","Edgeclub","Decision Maker","Decision Maker","",""
"401","Cristian","Ambrogiotti","cristian.ambrogiotti@aibox.com","2022-08-12 11:20","Aibox","","Decision Maker","",""
"1305","Piggy","Tidridge","piggy.tidridge@ntag.com","2022-08-12 11:20","Ntag","Decision Maker","Decision Maker","716-842-1955",""
"152","Sadie","Sawyers","sadie.sawyers@tagtune.com","2022-08-12 11:20","Tagtune","","Blocker","",""
"801","Rivy","Collip","rivy.collip@voonte.com","2022-08-12 11:20","Voonte","","Influencer","709-630-1913",""
"502","Roseanne","Poyle","roseanne.poyle@youtags.com","2022-08-12 11:20","Youtags","Influencer","Influencer","398-982-8586",""
"752","Irving","Theuss","irving.theuss@rooxo.com","2022-08-12 11:20","Rooxo","","Decision Maker","482-231-7582",""
"1303","Benton","Mandal","benton.mandal@eayo.com","2022-08-12 11:20","Eayo","","Budget Holder","",""
"1352","Debera","Exton","debera.exton@avavee.com","2022-08-12 11:20","Avavee","Budget Holder","Budget Holder","",""
"1051","Nicholas","Pettingill","nicholas.pettingill@flashset.com","2022-08-12 11:20","Flashset","","Blocker","",""
"851","Nolly","Cowthart","nolly.cowthart@yombu.com","2022-08-12 11:20","Yombu","","Blocker","927-577-3468",""
"301","Prudy","Haysom","prudy.haysom@twimm.com","2022-08-12 11:20","Twimm","","Legal & Compliance","",""
"251","Donny","Rizzone","donny.rizzone@pixonyx.com","2022-08-12 11:20","Pixonyx","Decision Maker","Decision Maker","",""
"151","Nan","Molineux","nan.molineux@yodel.com","2022-08-12 11:20","Yodel","","Other","316-766-7537",""
"51","Brian","Halligan (Sample Contact)","bh@hubspot.com","2022-08-12 00:04","HubSpot","","","",""
"1","Maria","Johnson (Sample Contact)","emailmaria@hubspot.com","2022-08-12 00:04","HubSpot","","","",""
